2019/06/11 00:40:56 socat[88438] E execvp("./brop", "./brop"): Permission denied
2019/06/12 03:42:17 socat[53803] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:17 socat[53818] E write(6, 0xba65d0, 1): Broken pipe
2019/06/12 03:42:17 socat[53821] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:17 socat[53824] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:17 socat[53831] E write(6, 0xba65d0, 1): Broken pipe
2019/06/12 03:42:17 socat[53834] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:17 socat[53837] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:17 socat[53840] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:17 socat[53843] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:17 socat[53846] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:17 socat[53889] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:18 socat[53924] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:19 socat[54059] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:19 socat[54062] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:19 socat[54065] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:19 socat[54068] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:19 socat[54071] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:19 socat[54094] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:21 socat[54209] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:21 socat[54216] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:21 socat[54219] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:21 socat[54226] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:21 socat[54233] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:21 socat[54280] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:21 socat[54295] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:22 socat[54402] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:24 socat[54514] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:24 socat[54549] E write(6, 0xba65d0, 1): Broken pipe
2019/06/12 03:42:24 socat[54552] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:24 socat[54555] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:24 socat[54558] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:24 socat[54561] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:24 socat[54564] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:24 socat[54567] E write(6, 0xba65d0, 21): Broken pipe
2019/06/12 03:42:24 socat[54570] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:24 socat[54602] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:25 socat[54637] E write(6, 0xba65d0, 21): Broken pipe
2019/06/12 03:42:25 socat[54661] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:25 socat[54664] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:25 socat[54667] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:25 socat[54670] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:25 socat[54673] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:25 socat[54676] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:25 socat[54679] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:42:25 socat[54682] E write(6, 0xba65d0, 20): Broken pipe
